id,type,address,lon,lat
1,mid_risk,黑龙江省哈尔滨市道里区民安小区（6栋、7栋围合区域）,126.61911541005439,45.752461110350964
2,mid_risk,广东省东莞市蔡边村九墩区112号,113.95503860342731,22.93601226994153
3,high_risk,浙江省绍兴市上虞区百官街道恒利社区,120.89029626551829,30.035534436107522
4,mid_risk,内蒙古自治区新巴尔虎右旗阿拉坦额莫勒镇,116.81695372586165,48.66983258595176
5,mid_risk,浙江省绍兴市上虞区章镇镇浙江胤亿科技有限公司,120.85568049483341,29.824619084197806
6,high_risk,内蒙古自治区满洲里市南区街道,117.38543585768028,49.604098854866066
7,mid_risk,浙江省绍兴市上虞区驿亭镇鲁溪闸群英自然村,120.95745942443007,30.03834840847572
8,mid_risk,浙江省绍兴市上虞区东关街道南阳社区新东方家园13幢,120.82465016495176,30.01068901711775
9,mid_risk,浙江省绍兴市上虞区东关街道大西庄村马家自然村,120.8042760400085,29.99777985879349
10,mid_risk,内蒙古自治区满洲里市扎赉诺尔区第五街道,117.77620630028945,49.44924013872527
11,high_risk,内蒙古自治区满洲里市北区街道,117.38543585768028,49.604098854866066
12,mid_risk,浙江省绍兴市上虞区道墟街道积山村诸家自然村,120.7834928607233,30.02108725784985
13,mid_risk,浙江省绍兴市上虞区道墟街道汇联村,120.78330215046354,30.085508977405738
14,mid_risk,黑龙江省哈尔滨市南岗区学府星城小区,126.62448799564852,45.67654200149664
15,mid_risk,广东省东莞市大朗镇长富社区碧桂园首座3栋,113.93142996683572,22.94281200354232
16,mid_risk,陕西省西安市雁塔区长延堡街道朱雀大街南段10号紫郡长安北区F5栋2单元,108.94492801092186,34.197957947655766
17,mid_risk,浙江省绍兴市上虞区上虞经济技术开发区浙江太阳股份有限公司,120.84801212685812,30.17685239719832
18,high_risk,内蒙古自治区满洲里市扎赉诺尔区第四街道,117.77620630028945,49.44924013872527
19,high_risk,内蒙古自治区满洲里市扎赉诺尔区第三街道,117.77620630028945,49.44924013872527
20,mid_risk,上海市浦东新区张江镇张东路2281弄玉兰香苑四期小区,121.64488466170195,31.206713740418078
21,mid_risk,浙江省宁波市镇海区蛟川街道宁波阿尔卑斯电子有限公司,121.66607468326792,29.94516413347115
22,mid_risk,陕西省西安市碑林区含光路23号九锦台小区12号楼2单元,108.93902829965452,34.23929873392361
23,mid_risk,广东省东莞市大井头社区怡安路63号怡安时尚公寓,113.95304328722919,22.94295852312832
24,mid_risk,黑龙江省哈尔滨市南岗区华鸿金色柏林小区8号楼,126.72363388495485,45.761298636912606
25,mid_risk,浙江省绍兴市上虞区驿亭镇鲁溪闸下闸自然村,120.95659094266298,30.037731703569413
26,mid_risk,陕西省西安市雁塔区长延堡街道朱雀大街南段10号紫郡长安北区F6栋,108.94492801092186,34.197957947655766
27,mid_risk,黑龙江省哈尔滨市道里区恒祥小区二期（14号楼、15号楼、16号楼围合区域）,126.6153270760577,45.75683008910424
28,high_risk,浙江省绍兴市上虞区百官街道城南社区,120.88752892854308,29.99868089480079
29,mid_risk,浙江省绍兴市上虞区盖北镇兴海村,120.88646077048232,30.14090477656431
30,mid_risk,浙江省杭州市萧山区北干街道龙湖春江天玺17幢,120.24696264742322,30.217175406461138
31,mid_risk,浙江省宁波市镇海区蛟川街道临江小区,121.68254700122951,29.939255984782967
32,high_risk,内蒙古自治区满洲里市兴华街道,117.46590768221455,49.5981751015265
33,mid_risk,陕西省西安市雁塔区小寨路街道长安中路33号长安大学长安路住宅区3区11号楼和2区11号楼,108.96118796946631,34.23700606328734
34,mid_risk,浙江省绍兴市上虞区驿亭镇新横塘徐家岙自然村,120.98552464449496,30.030328675387352
35,mid_risk,内蒙古自治区满洲里市扎赉诺尔区第二街道,117.77620630028945,49.44924013872527
36,high_risk,浙江省绍兴市上虞区曹娥街道银河社区,120.86822049744111,30.014494111518875
37,mid_risk,陕西省西安市碑林区张家村街道融信社区大学东路80号民房,108.94031422399206,34.25355367372579
38,mid_risk,陕西省西安市曲江新区雁展路288号沿街69-10101至69-10107商铺,108.9684960441122,34.202732048748736
39,mid_risk,浙江省绍兴市上虞区丰惠镇上虞英格菲尔通用机械有限公司,120.97051807458004,29.954052133421094
40,mid_risk,浙江省绍兴市上虞区驿亭镇五夫村,120.99101975896063,30.060904871123252
41,mid_risk,陕西省西安市西咸新区沣东新城上林街道奥林匹克花园E3栋,108.88739801080744,34.20884805883916
42,mid_risk,浙江省绍兴市上虞区丰惠镇南源贾塔自然村,120.94224013577968,29.949168131692772
43,high_risk,浙江省绍兴市上虞区曹娥街道大通超市（舜杰路店）,120.87275945552193,30.01521158151307
44,mid_risk,浙江省绍兴市上虞区驿亭镇新驿亭村,120.9387524816764,30.045620075200734
45,mid_risk,陕西省西安市雁塔区长延堡街道丈八东路2号家属院,108.94898799250477,34.204997074270445
46,mid_risk,陕西省西安市雁塔区小寨路街道长安中路33号长安大学长安路住宅区3区10号楼1单元,108.95582678104256,34.23555220786211
47,high_risk,浙江省绍兴市上虞区曹娥街道振兴社区,120.87555183819971,30.018660946433197
48,mid_risk,浙江省绍兴市上虞区丰惠镇渔门村,120.91347953742896,29.93892486634962
49,mid_risk,黑龙江省齐齐哈尔市讷河市长发镇建设村,124.92421736704948,48.33886617683831
50,mid_risk,浙江省绍兴市上虞区上虞经济技术开发区浙江致为新材料有限公司,120.8929420447368,30.15902314198563
51,mid_risk,陕西省西安市经开区长大南路356号长安大学渭水校区住宅小区10号楼3单元,108.91702870788464,34.38004350908666
52,mid_risk,广东省东莞市水平村红荔西区金宝公寓,113.92374074116451,22.889017501520467
53,mid_risk,浙江省绍兴市上虞区上虞经济技术开发区浙江海创锂电科技有限公司,120.91077457690704,30.160766658621306
54,mid_risk,广东省东莞市蔡边村金丽路五巷20号,113.95503860342731,22.93601226994153
55,mid_risk,广东省东莞市长塘社区三区一路197-199号君安雅居,113.94361305564968,22.945274443145923
56,mid_risk,安徽省宿州市埇桥区大营镇大营新村,116.98948875966528,33.34307690546789
57,high_risk,内蒙古自治区满洲里市东山街道,117.48432995195219,49.59247802164778
58,mid_risk,陕西省西安市雁塔区小寨街道长安中路33号长安大学家属院2区15号楼、13号楼3单元,108.96274904478157,34.23436100903006
59,mid_risk,广东省东莞市长塘社区第一工业区一街92-146号,113.94388982357721,23.096581947568964
60,mid_risk,浙江省绍兴市上虞区曹娥街道（振兴社区、银河社区、大通超市（禹杰路店）除外）,120.86694876633064,30.018411557372012
61,mid_risk,浙江省绍兴市上虞区梁湖街道天香华庭小区香榭局17幢,120.9108952921387,29.99465912790813
62,mid_risk,浙江省绍兴市上虞区崧厦街道陆家村,120.8503983856148,30.103836636748387
63,mid_risk,浙江省宁波市镇海区蛟川街道甬记公寓,121.68557384164437,29.94360807005952
64,high_risk,内蒙古自治区满洲里市扎赉诺尔区第一街道,117.77620630028945,49.44924013872527
65,mid_risk,黑龙江省哈尔滨市香坊区绿海华庭小区三期,126.6681489671641,45.69417958730583
66,mid_risk,广东省东莞市蔡边村沙井街76-80号,113.95503860342731,22.93601226994153
67,mid_risk,内蒙古自治区满洲里市扎赉诺尔区灵泉镇,117.77620630028945,49.44924013872527
68,mid_risk,浙江省绍兴市上虞区百官街道（城南社区、恒利社区除外）,120.89029626551829,30.035534436107522
69,mid_risk,黑龙江省哈尔滨市南岗区宣德街26—1号至宣德街30号与芦家街90号至90—18号四单元门市半合围区域,126.6713889754775,45.761580015594866
