id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,129577,5698,119916,471,19,6,1639670400,147,3,33,0,6,-4,10584,118993,36,111,36,111,3963,114,1
2,oversea,273805354,5354838,245703948,None,None,None,1639670400,775981,None,576201,7662,None,None,None,None,None,None,None,None,22746568,192118,None
