id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127472,5697,118660,479,8,3,1637337600,33,1,93,0,12,0,9997,117466,13,11,13,11,3115,-55,1
2,oversea,257299007,5157950,232264826,None,None,None,1637337600,609028,None,456926,7987,None,None,None,None,None,None,None,None,19876231,144115,None
