id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,147050,5715,130287,721,32,3,1644940800,1010,3,329,3,7,0,13201,133779,57,883,11048,608,1
2,oversea,418373669,5864820,341801027,None,None,None,1644940800,2048725,None,2857471,12141,None,None,None,None,None,None,70707822,-820887,None
