id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,125840399,978627,112454370,12022325,89.4%,1363704,1.1%
2,欧洲,165117240,620959,146015094,17362588,88.4%,1739558,1.1%
3,非洲,11630821,10714,10783417,595662,92.7%,251742,2.2%
4,大洋洲,4254784,44021,3712124,534398,87.2%,8262,0.2%
5,北美洲,95684048,28851,68863681,25394479,72.0%,1425888,1.5%
6,南美洲,55245288,84568,50003693,3973528,90.5%,1268067,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
