id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,397910,9482,145499,7039,906,5,1647100800,6194,1,878,264,8,2,16337,381322,100,5843,242929,4803,1
2,oversea,457778834,6057266,391843474,None,None,None,1647100800,1767740,None,1368669,4481,None,None,None,None,None,None,59878094,394590,None
