id,date,confirmed,cured,died,curConfirm,curConfirmRelative
1,2022-01-13,317955702,263062084,5527813,49365805,3496765
2,2022-01-14,321328829,264338714,5535796,51454319,3373127
3,2022-01-15,324649822,265514784,5543940,53591098,3320993
4,2022-01-16,327113166,266575458,5549648,54988060,2463344
5,2022-01-17,329109769,267775005,5553630,55781134,1996603
6,2022-01-18,332001899,269241864,5560341,57199694,2892130
7,2022-01-19,335818129,271397939,5570100,58850090,3816230
8,2022-01-20,340074223,273292606,5580305,61201312,4256094
9,2022-01-21,343857031,275094065,5589876,63173090,3782808
10,2022-01-22,347483386,276837021,5599637,65046728,3626355
11,2022-01-23,350332352,278611308,5605775,66115269,2848966
12,2022-01-24,352611922,280261747,5610718,66739457,2279570
13,2022-01-25,356484616,282493220,5619729,68371667,3872694
14,2022-01-26,360094699,284912122,5631122,69551455,3610083
15,2022-01-27,364101566,287904252,5642266,70555048,4006867
16,2022-01-28,367815110,290502118,5653541,71659451,3713544
17,2022-01-29,371210488,292862726,5664420,72683342,3395378
18,2022-01-30,373697623,294927083,5671944,73098596,2487135
19,2022-01-31,375862703,297098208,5677855,73086640,2165080
20,2022-02-01,379576967,299378467,5713809,74484691,3714264
21,2022-02-02,382823265,303293623,5702648,73826994,3246298
22,2022-02-03,386163220,305775547,5715879,74671794,3339955
23,2022-02-04,389326364,308358088,5728066,75240210,3163144
24,2022-02-05,392417707,310813982,5741057,75862668,3091343
25,2022-02-06,394873501,313419319,5749052,75705130,2455794
26,2022-02-07,396727471,315308150,5755192,75664129,1853970
27,2022-02-08,399095851,318745516,5766471,74583864,2368380
28,2022-02-09,401988886,321564298,5779953,74644635,2893035
29,2022-02-10,404505293,324317799,5793110,74394384,2516407
30,2022-02-11,407343204,327240342,5806176,74296686,2837911
31,2022-02-12,409577090,329772759,5817776,73986555,2233886
32,2022-02-13,411441066,331439812,5825600,74175654,1863976
33,2022-02-14,412863581,333386124,5831426,73646031,1422515
34,2022-02-15,414695753,336630528,5842506,72222719,1832172
35,2022-02-16,416744478,339487999,5854647,71401832,2048725
36,2022-02-17,418972628,342308987,5867052,70796589,2228150
37,2022-02-18,420940824,345171900,5879067,69889857,1968196
38,2022-02-19,422676843,347333083,5890021,69453739,1736019
39,2022-02-20,424246606,349417633,5897810,68931163,1569763
40,2022-02-21,425433849,351217111,5903158,68313580,1187243
41,2022-02-22,426960006,354233771,5907325,66818910,1526157
42,2022-02-23,428796502,356897962,5923175,65975365,1836496
43,2022-02-24,430725200,359399046,5934417,65391737,1928698
44,2022-02-25,432481958,361730834,5944843,64806281,1756758
45,2022-02-26,433808013,363688668,5953737,64165608,1326055
46,2022-02-27,435105819,365450833,5959892,63695094,1297806
47,2022-02-28,436152489,366945021,5964271,63243197,1046670
48,2022-03-01,437511523,369353937,5972160,62185426,1359034
49,2022-03-02,439118167,371912630,5980742,61224795,1606644
50,2022-03-03,440745111,373881980,5989272,60873859,1626944
51,2022-03-04,442459692,375717983,5997798,60743911,1714581
52,2022-03-05,443978549,377278276,6005358,60694915,1518857
53,2022-03-06,445360043,378851479,6010441,60498123,1381494
54,2022-03-07,446694797,380281592,6015271,60397934,1334754
55,2022-03-08,447602695,382210756,6019887,59372052,907898
56,2022-03-09,449910104,384514816,6030763,59364525,2307409
57,2022-03-10,451764760,386632493,6038045,59094222,1854656
58,2022-03-11,453584991,388303928,6045236,59235827,1820231
59,2022-03-12,455027159,389441965,6050743,59534451,1442168
60,2022-03-13,456794899,390810634,6055224,59929041,1767740
